Feature,Importance
Contract,0.18815954904285165
tenure,0.14901027681970816
TotalCharges,0.12677776062648644
MonthlyCharges,0.12332010899945502
OnlineSecurity,0.08668542717356319
TechSupport,0.07680692313156254
InternetService,0.04099933101522965
PaymentMethod,0.04004285766590639
OnlineBackup,0.03248115465970839
PaperlessBilling,0.019277262190729574
DeviceProtection,0.018209277733419866
MultipleLines,0.016240082250906788
gender,0.01536933930668182
Dependents,0.014642164081276903
StreamingTV,0.013415080571111283
Partner,0.012564248434787284
StreamingMovies,0.012478142173069614
SeniorCitizen,0.009123277384968114
PhoneService,0.00439773673857723
