Feature,MI_Score,MI_Score_Norm,RF_Norm,Combined_Score
tenure,0.0797383562230145,0.7647855182090093,0.8147493826817949,0.7897674504454021
TotalCharges,0.04448538506066746,0.4266676650719612,1.0,0.7133338325359806
Contract,0.10426237726068277,1.0,0.3957442949905313,0.6978721474952656
MonthlyCharges,0.0440610659715408,0.42259794116699256,0.9445583106820192,0.683578125924506
TechSupport,0.0682429304051102,0.6545307348448934,0.21028179240151693,0.43240626362320517
OnlineSecurity,0.06143953565946103,0.5892781008229496,0.22016745752413783,0.4047227791735437
InternetService,0.05952602692244047,0.570925279917703,0.11238500462272927,0.34165514227021615
OnlineBackup,0.053899824517515516,0.5169633182519144,0.1205584831258916,0.318760900688903
PaymentMethod,0.040616887785575484,0.3895641827159073,0.24491306330459242,0.31723862301024985
DeviceProtection,0.05650904351758279,0.5419888266723062,0.08709043094915636,0.3145396288107313
StreamingTV,0.030293179006981363,0.29054755706596463,0.06172879505758583,0.17613817606177523
StreamingMovies,0.029147982978199538,0.27956376733404115,0.06370649314770045,0.1716351302408708
PaperlessBilling,0.017067154273532337,0.16369427517329727,0.11068933689118444,0.13719180603224085
Partner,0.017201781031880747,0.16498550564286357,0.09980000704319442,0.132392756343029
Dependents,0.013988201596721428,0.1341634630270066,0.0783020276175144,0.1062327453222605
gender,0.008749035318125209,0.08391363738283436,0.12102298373280142,0.10246831055781788
SeniorCitizen,0.011113804155343354,0.10659457847921484,0.08455258793042938,0.09557358320482212
MultipleLines,0.0004807382894624901,0.004610851028847353,0.08773424512092937,0.04617254807488836
PhoneService,0.0,0.0,0.0,0.0
